approach,generator,n_repeats,n_results_total,success_definition,success_rate_mean,success_rate_ci_low,success_rate_ci_high,latency_ms_mean,latency_ms_ci_low,latency_ms_ci_high,similarity_mean,similarity_ci_low,similarity_ci_high,cost_usd_mean,cost_usd_ci_low,cost_usd_ci_high
structured,claude-sonnet-4-6,3,360,strict,0.2,0.161111,0.241667,8651.624,8263.857,9036.468,0.376413,0.36911,0.383712,0.00668537,0.00637079,0.00699597
structured,gpt-5.5,3,360,strict,0.361111,0.313889,0.411111,6358.008,6014.446,6703.665,0.434926,0.428709,0.4411,0.00892233,0.00845429,0.00939405
structured,grok-build-0.1,3,360,strict,0.411111,0.361111,0.461111,7919.545,7429.721,8447.087,0.43774,0.430999,0.444484,0.00392342,0.00375104,0.00409951
unstructured,claude-sonnet-4-6,3,360,strict,0.225,0.183333,0.266667,7576.883,7120.361,8129.195,0.411603,0.405221,0.418202,0.00455657,0.00434192,0.00477107
unstructured,gpt-5.5,3,360,strict,0.416667,0.366667,0.469444,5360.346,5096.242,5630.526,0.480062,0.475467,0.484626,0.01404742,0.01371354,0.014358
unstructured,grok-build-0.1,3,360,strict,0.294444,0.25,0.344444,6373.983,6040.303,6716.258,0.445553,0.44015,0.450999,0.0062236,0.00607683,0.00636482
